fingerprint,ruleId,uri,line,level,cwe,owasp_asvs,compliance_name,meta_source,triage_status,fixed_in_version,external_ticket_id,external_system,pci_dss,sox,soc2,gost_r_57580,dashboard_cwe_class,sla_state,sla_seconds_until_due,ttf_seconds_open,message
52280a92deca5fe5e1ace818671a3e0c589dfb50958ae44c42726c070e10cc69,java:spring-rest-no-method-restriction,src/main/java/su/atb/msa/forex/fxmsaggregator/controller/PcServerController.java,14,note,CWE-352,A01,Spring @RequestMapping without explicit HTTP method restriction,static_registry,new,,,,6.5.10;6.2.4,SOX-ITGC-APP-02,CC6.1;CC6.6;CC7.2,GOST-R-57580.1-2017-8.4;ISMG-FSTEC-UZP-9,CWE-352,none,,,Spring @RequestMapping without explicit HTTP method restriction
2cce95bc4311b2f6b05afa75cf1267e92d3c4b18296279dbaf64f44ea93cb6d7,java:spring-rest-no-method-restriction,src/main/java/su/atb/msa/forex/fxmsaggregator/controller/PhoneController.java,31,note,CWE-352,A01,Spring @RequestMapping without explicit HTTP method restriction,static_registry,new,,,,6.5.10;6.2.4,SOX-ITGC-APP-02,CC6.1;CC6.6;CC7.2,GOST-R-57580.1-2017-8.4;ISMG-FSTEC-UZP-9,CWE-352,none,,,Spring @RequestMapping without explicit HTTP method restriction
0ddf014513058898e5144113e02a9d04b09b1181069fa6e312ac66270e8722a2,java:spring-rest-no-method-restriction,src/main/java/su/atb/msa/forex/fxmsaggregator/controller/PubKeyController.java,21,note,CWE-352,A01,Spring @RequestMapping without explicit HTTP method restriction,static_registry,new,,,,6.5.10;6.2.4,SOX-ITGC-APP-02,CC6.1;CC6.6;CC7.2,GOST-R-57580.1-2017-8.4;ISMG-FSTEC-UZP-9,CWE-352,none,,,Spring @RequestMapping without explicit HTTP method restriction
3fc6086eac161113f699fe132f5dec0d80cf6ab3d7251fde825ea733e6a747c9,java:spring-rest-no-method-restriction,src/main/java/su/atb/msa/forex/fxmsaggregator/controller/RfqController.java,25,note,CWE-352,A01,Spring @RequestMapping without explicit HTTP method restriction,static_registry,new,,,,6.5.10;6.2.4,SOX-ITGC-APP-02,CC6.1;CC6.6;CC7.2,GOST-R-57580.1-2017-8.4;ISMG-FSTEC-UZP-9,CWE-352,none,,,Spring @RequestMapping without explicit HTTP method restriction
afb02bd214adaf55870c89054721f121335ecc29befe1cb84af42de897f39dbf,java:spring-rest-no-method-restriction,src/main/java/su/atb/msa/forex/fxmsaggregator/controller/SupportController.java,16,note,CWE-352,A01,Spring @RequestMapping without explicit HTTP method restriction,static_registry,new,,,,6.5.10;6.2.4,SOX-ITGC-APP-02,CC6.1;CC6.6;CC7.2,GOST-R-57580.1-2017-8.4;ISMG-FSTEC-UZP-9,CWE-352,none,,,Spring @RequestMapping without explicit HTTP method restriction
41af80122e9f560d3400adf141ca88b28bf7c01e409ab65996e19e7a1e77d3f6,java:spring-rest-no-method-restriction,src/main/java/su/atb/msa/forex/fxmsaggregator/controller/SystemInfoController.java,17,note,CWE-352,A01,Spring @RequestMapping without explicit HTTP method restriction,static_registry,new,,,,6.5.10;6.2.4,SOX-ITGC-APP-02,CC6.1;CC6.6;CC7.2,GOST-R-57580.1-2017-8.4;ISMG-FSTEC-UZP-9,CWE-352,none,,,Spring @RequestMapping without explicit HTTP method restriction
31745b2113bc3dec834b4ae0687e42eb7aa242ac172aa8b35b54956bbcb15618,java:spring-security-csrf-disable,src/main/java/su/atb/msa/forex/fxmsaggregator/config/WebSecurityConfig.java,38,warning,CWE-352,A01,Spring Security CSRF protection disabled (http.csrf…disable),static_registry,new,,,,6.5.10;6.2.4,SOX-ITGC-APP-02,CC6.1;CC6.6;CC7.2,GOST-R-57580.1-2017-8.4;ISMG-FSTEC-UZP-9,CWE-352,none,,,Spring Security CSRF protection disabled (http.csrf…disable)
46ad6798b7c27d5acddf9373dde06505fc4ecae34502be4a276c25c476b3e321,spring-mvc-csrf-state-changing,src/main/java/su/atb/msa/forex/fxmsaggregator/controller/BankController.java,36,warning,CWE-352,A01,Spring MVC state-changing handler — CSRF mitigations not evident from controller source,static_registry,new,,,,6.5.10;6.2.4,SOX-ITGC-APP-02,CC6.1;CC6.6;CC7.2,GOST-R-57580.1-2017-8.4;ISMG-FSTEC-UZP-9,CWE-352,none,,,Spring MVC state-changing handler — CSRF mitigations not evident from controller source: Spring MVC state-changing endpoint без CSRF token.
90ef2043dfaf8320803c001e5d891703b0f51bf32299aaebf7c4d7c8b7cd4426,spring-mvc-csrf-state-changing,src/main/java/su/atb/msa/forex/fxmsaggregator/controller/DealController.java,32,warning,CWE-352,A01,Spring MVC state-changing handler — CSRF mitigations not evident from controller source,static_registry,new,,,,6.5.10;6.2.4,SOX-ITGC-APP-02,CC6.1;CC6.6;CC7.2,GOST-R-57580.1-2017-8.4;ISMG-FSTEC-UZP-9,CWE-352,none,,,Spring MVC state-changing handler — CSRF mitigations not evident from controller source: Spring MVC state-changing endpoint без CSRF token.
fd3b9d8a7b6aa3f13343196d673d9c1fcd6f10890481082c11d339b5cbc34ea1,spring-mvc-csrf-state-changing,src/main/java/su/atb/msa/forex/fxmsaggregator/controller/DealController.java,96,warning,CWE-352,A01,Spring MVC state-changing handler — CSRF mitigations not evident from controller source,static_registry,new,,,,6.5.10;6.2.4,SOX-ITGC-APP-02,CC6.1;CC6.6;CC7.2,GOST-R-57580.1-2017-8.4;ISMG-FSTEC-UZP-9,CWE-352,none,,,Spring MVC state-changing handler — CSRF mitigations not evident from controller source: Spring MVC state-changing endpoint без CSRF token.
